question,marks,command_term,topic,subtopic,concepts
1,2,Identify,1,1.1,planning; feasibility; computing system
2,2,Explain,1,1.2,beta testing; testing
3,4,Describe,1,1.2,data gathering; observations; system design
4,2,Outline,1,1.3,usability; human interaction; mobile devices
5,2,Distinguish,2,2.1,RAM; ROM; primary memory
6,3,Explain,5,5.1,linked list; insertion; alphabetical order
7,2,Outline,2,2.1,data representation; colour; RGB
8,2,Identify,3,3.1,P2P; peer-to-peer; networks
9,2,Outline,6,6.1,paging; memory management; operating system
10,4,Outline,7,7.1,autonomous agents; software
11a,2,Identify,1,1.1,stakeholders; users; integrated technology
11b,4,Discuss,1,1.1,benefits; smart home; advertisement
11c,6,Evaluate,1,1.3,user interface; access methods; home system
11d,3,Describe,7,7.1,decentralized control; embedded systems
12a,3,Describe,3,3.1,SaaS; cloud computing
12b,6,Discuss,3,3.1,SaaS; security; limitations
12c,2,Define,3,3.1,extranet; networks
12d,4,Distinguish,3,3.1,VPN; extranet
13a,1,State,4,4.1,array; indexing
13b,2,Outline,4,4.2,data representation; string; fixed-length
13c,6,Construct,4,4.3,algorithm; array; pseudocode; range
13d,6,Construct,5,5.1,queue; algorithm; Radio; Stats; cyclic
14a,3,Construct,4,4.3,flowchart; pseudocode; stack
14b,2,Construct,5,5.1,stack; drawH; recursion pattern
14c,6,Construct,4,4.3,algorithm; iteration; stack; generations
14d,1,State,4,4.3,endpoints; counting; recursion
14e,3,Suggest,4,4.3,recursion; drawing pattern
15a,1,State,5,5.1,zones; journey; binary tree
15b,3,Sketch,5,5.1,binary tree; TRAIN_DATA
15c,1,State,4,4.1,array; STATIONS; indexing
15d,1,Calculate,4,4.1,2D array; FARES; lookup
15e,9,Construct,4,4.3,algorithm; binary tree; 2D array; fares
