question,marks,command_term,topic,subtopic,concepts
1,3,State,1,1.2,usability; digital devices; cell phones
2a,1,State,2,2.1,cache memory
2b,1,Construct,2,2.1,primary memory; RAM; processor; cache
3,4,Outline,3,3.1,wireless networks; advantages; disadvantages
4,4,Construct,2,2.1,truth table; Boolean operators; XOR; AND
5,4,Outline,1,1.2,ethics; internet; intellectual property; data use
6a,1,Determine,5,5.1,recursion; trace algorithm; multiplication count
6b,3,Determine,5,5.1,recursion; trace; exponentiation
6c,1,State,5,5.1,recursive thinking; purpose; exponentiation
7a,1,Identify,5,5.1,binary tree; leaf
7b(i),1,State,5,5.1,binary tree; inorder traversal
7b(ii),1,State,5,5.1,binary tree; postorder traversal
8a,5,Construct,1,1.2,system requirements; flow chart; representation
8b,2,Outline,1,1.2,peripheral; point of sale
8c,2,Outline,3,3.1,protocol; data transfer; necessity
8d(i),2,Identify,1,1.1,personal data; risk; data loss
8d(ii),2,State,1,1.1,prevent data loss; measures
8d(iii),2,Outline,1,1.1,data loss; consequences
9a,2,Identify,4,4.3,essential features; grammar; syntax; programming language
9b,2,Identify,4,4.3,user interface; application programmers
9c,1,State,1,1.1,user documentation; methods
9d(i),2,Outline,4,4.3,translation; interpreter; compiler; machine code
9d(ii),2,Describe,4,4.3,interpreter; compiler; advantage
9e,4,Construct,4,4.3,pseudocode; subprogram; algorithm; loops
9f,2,Outline,4,4.3,sub-programmes; collections; need
10a,1,Define,2,2.1,analog data; data representation
10b,5,Explain,7,7.1,sensor; processor; output transducer; control
10c,4,Outline,6,6.1,operating system; resource management
10d,3,Describe,6,6.1,polling; interrupt; resource management
10e,2,Compare,7,7.1,centrally controlled; distributed system
11a,1,State,5,5.1,circular linked list
11b,3,Sketch,5,5.1,circular linked list; insert; diagram
11c,4,Describe,5,5.1,linked list; traverse; count
11d,4,Explain,5,5.1,stack; linked list; reverse order
11e,3,Compare,5,5.1,static; dynamic data structures
12a,3,Trace,5,5.1,two-dimensional array; algorithm; trace
12b(i),1,State,5,5.1,two-dimensional array; spiral; bounds
12b(ii),1,State,5,5.1,spiral algorithm; boundary; consequence
12b(iii),1,State,5,5.1,two-dimensional array; indices; BOTTOM row
12c,9,Construct,5,5.1,pseudocode; two-dimensional array; spiral algorithm
