question,marks,command_term,topic,subtopic,concepts
1,2,State,1,1.1,compatibility; business mergers; legacy systems
2,2,Outline,1,1.1,user documentation; importance
3,2,Identify,3,3.1,networks; WAN; LAN; types
4,2,Outline,3,3.1,compression; data transmission
5,2,Outline,4,4.3,translation; high level language; machine code
6,4,Draw,2,2.1,logic circuit; truth table; NAND; XOR; NOT; Boolean
7a,2,Calculate,2,2.1,binary; denary; number representation
7b,2,Calculate,2,2.1,hexadecimal; denary; number representation
8,3,State,6,6.1,operating system; resource management; scheduling; multitasking
9a,1,Identify,5,5.1,queue; characteristics
9b,1,Identify,5,5.1,queue; applications
10,2,Define,5,5.1,binary tree; child; parent
11a(i),1,Identify,1,1.2,stakeholders; planning new system
11a(ii),2,Outline,1,1.2,stakeholders; end-user; design process
11b,4,Describe,1,1.2,techniques; gathering information; workable solution
11c,2,Outline,1,1.1,testing; development process
11d,6,Evaluate,1,1.1,installation processes; implementation methods
12a,2,Identify,4,4.1,conditional statement; decision; condition
12b,5,Construct,4,4.3,algorithm; pseudocode; array; collections
12c,2,Outline,4,4.3,parallel arrays; indexing; collection
12d,3,Construct,4,4.3,algorithm; pseudocode; array; branching
12e,3,Explain,4,4.3,algorithm; user input; selection
13a,1,State,7,7.1,sensor; input device; control system; headlights
13b,6,Explain,7,7.1,feedback; sensor; processor; output; control system
13c,5,Discuss,7,7.1,centralized; distributed; control systems; vehicles
13d,3,Explain,7,7.1,ethics; embedded systems; autonomous vehicles
14a(i),2,Construct,4,4.3,subprogram; pseudocode; perimeter
14a(ii),4,Construct,4,4.3,subprogram; pseudocode; parameters
14a(iii),5,Construct,4,4.2,flowchart; pseudocode; subprograms; algorithm
14b,4,Explain,4,4.2,algorithm; abstraction; modification
15a,6,Complete,5,5.1,stack; trace table; RPN; postfix; algorithm
15b,3,Explain,5,5.1,stack; characteristics; applications; RPN
15c,4,Outline,5,5.1,binary tree; postorder traversal
15d,2,State,5,5.1,binary tree; inorder traversal
